platform,analyte,feature,estimate,p.value,p_adj
C18,PFOA,308.2677_179.7,0.18189861589268472,0.014531575037168025,0.4609585396368302
C18,PFOA,369.944_38.1,-0.18035345151133156,0.015403992360796093,0.4609585396368302
C18,PFOA,102.0196_269.3,0.1799636071660014,0.015631195434168594,0.4609585396368302
C18,PFOA,384.8089_30.4,-0.17986699683611115,0.015687950351937447,0.4609585396368302
C18,PFOA,595.2895_103.5,0.17922308462004563,0.016070836253452535,0.4609585396368302
C18,PFOA,759.8811_41.3,-0.1792212453753456,0.01607194147649207,0.4609585396368302
C18,PFOA,279.5219_159.3,0.17898906731523764,0.016211993039273113,0.4609585396368302
C18,PFOA,100.004_273.2,-0.17877450472799322,0.016342363094457003,0.4609585396368302
C18,PFOA,221.0529_29.4,-0.17867455540703642,0.016403404331859824,0.4609585396368302
C18,PFOA,542.8925_44.1,-0.17737473207419172,0.017215504750267896,0.4609585396368302
C18,PFOA,500.8821_40.1,-0.17728645817076916,0.017271902901149026,0.4609585396368302
C18,PFOA,287.9409_39.3,-0.1768804593497442,0.017533369174824738,0.4609585396368302
C18,PFOA,364.8779_32.4,-0.17668131839776402,0.01766287036350349,0.4609585396368302
C18,PFOA,237.1497_96.7,0.17665756901292928,0.01767836990662664,0.4609585396368302
C18,PFOA,522.284_108.7,0.17627652973548577,0.017928668208078945,0.4609585396368302
C18,PFOA,371.9596_38.5,-0.17604482166670868,0.018082373672195798,0.4609585396368302
C18,PFOA,528.8767_47.7,-0.17576854663380412,0.01826713749547774,0.4609585396368302
C18,PFOA,117.9287_91.2,0.1747310972790842,0.01897565865826792,0.4609585396368302
C18,PFOA,297.2435_133,0.17465849891668492,0.019026119474577358,0.4609585396368302
C18,PFOA,461.8968_42.5,-0.17403208526924874,0.01946637320846313,0.4609585396368302
C18,PFOA,252.2051_145.9,0.1737558151979003,0.0196633276379746,0.4609585396368302
C18,PFOA,565.3344_136.1,-0.17329481079800224,0.01999582321259602,0.4609585396368302
C18,PFOA,297.2073_145.9,0.1732203959831196,0.02004994787872763,0.4609585396368302
C18,PFOA,880.8502_43.8,-0.17317945483063155,0.02007977993344277,0.4609585396368302
C18,PFOA,424.2815_158.3,0.1728247000495927,0.020339886760935785,0.4609585396368302
C18,PFOA,410.3643_282.7,0.1726326423356012,0.0204819160114788,0.4609585396368302
C18,PFOA,216.1241_161.1,-0.17242608679079413,0.02063562300115768,0.4609585396368302
C18,PFOA,104.9538_34.2,-0.1718501047415806,0.02106951488529927,0.4609585396368302
C18,PFOA,223.05_28.9,-0.17176467113031849,0.021134539284133693,0.4609585396368302
C18,PFOA,220.0496_28.9,-0.171400907530497,0.021413347560183114,0.4609585396368302
C18,PFOA,102.9568_33.9,-0.17117315034963412,0.021589525000512623,0.4609585396368302
C18,PFOA,637.8787_40.2,-0.1708077453317905,0.021874791340227434,0.4609585396368302
C18,PFOA,302.9687_36.9,-0.17066751273620456,0.021985129199221833,0.4609585396368302
C18,PFOA,631.9038_40.4,-0.17020205782798725,0.022354806692436387,0.4609585396368302
C18,PFOA,162.0772_286.6,0.16986151672534733,0.022628657364475037,0.4609585396368302
C18,PFOA,98.5078_141.3,0.16978016541970214,0.022694503248558425,0.4609585396368302
C18,PFOA,177.1649_107.8,0.16947973897904886,0.022939101456916675,0.4609585396368302
C18,PFOA,332.7509_29.3,-0.16859409879219212,0.02367341932792555,0.4609585396368302
C18,PFOA,508.6238_29.8,-0.16842282451089335,0.023817739109981348,0.4609585396368302
C18,PFOA,502.3989_191.1,0.16838165599030283,0.023852541274503387,0.4609585396368302
C18,PFOA,396.3485_282.7,0.16832817218221738,0.02389781958361352,0.4609585396368302
