"match_category_1","mz","match_category_3","theoretical_mz","lm_id","name","formula","monoisotopic_mass","adduct","adduct_mass","time","mz_min","mz_max","num_pres_all_samples","num_pres_biological_samples","median_cv","peak_score","qscore","max_intensity","sample_id","intensity"
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240812_146",22.0569232665466
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240812_152",14.1720367779222
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240812_158",21.5359805471038
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240812_164",13.9070831299503
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240812_170",12.540733475261
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240812_176",24.1445107118526
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240812_182",21.9291046516935
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240812_188",21.496062539092
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240812_194",14.385259129881
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240812_200",9.15823097839713
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240812_206",13.558145637428
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240812_212",13.1706136237656
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240812_218",22.6877131689973
"Unique",102.056,"Unique",102.055,"LMFA08010016","3-oxobutanamide","C4H7NO2",101.04768,"M+H",1.007276,31.6,102.055648803711,102.056907653809,463,1,1,1,1,22274965.8,"sd_240812_224",9.57213175138666
